sample_size,method,oos_mse
1000,nmmr_u,44.91615466279974
1000,nmmr_u,57.81936644530621
1000,nmmr_u,97.24662876557917
1000,nmmr_u,57.86560261642113
1000,nmmr_u,49.411419994130824
1000,nmmr_u,63.86033356459693
1000,nmmr_u,62.26091510804527
1000,nmmr_u,80.16257040827989
1000,nmmr_u,87.71156880595125
1000,nmmr_u,60.92713084275938
1000,nmmr_u,43.740158557213576
1000,nmmr_u,101.09489626013742
1000,nmmr_u,63.47237709453697
1000,nmmr_u,110.62057529856023
1000,nmmr_u,69.45564999980846
1000,nmmr_u,46.46636404173016
1000,nmmr_u,66.21747293603053
1000,nmmr_u,75.22659144799874
1000,nmmr_u,91.28406497905952
1000,nmmr_u,72.55045667769897
5000,nmmr_u,53.82354638531007
5000,nmmr_u,157.67402513588974
5000,nmmr_u,98.89352989265458
5000,nmmr_u,111.72843402924101
5000,nmmr_u,65.65130065583037
5000,nmmr_u,75.04627799342197
5000,nmmr_u,43.43061786067549
5000,nmmr_u,67.48933790950124
5000,nmmr_u,146.469656901645
5000,nmmr_u,49.301206507890136
5000,nmmr_u,107.3535000286611
5000,nmmr_u,105.71711225633808
5000,nmmr_u,57.515248087241744
5000,nmmr_u,858.0403448777531
5000,nmmr_u,48.945816739246965
5000,nmmr_u,46.539125756457025
5000,nmmr_u,290.4669002558944
5000,nmmr_u,83.61203530334448
5000,nmmr_u,111.01878427119831
5000,nmmr_u,496.8587818914915
10000,nmmr_u,49.22378961920379
10000,nmmr_u,140.6821603063447
10000,nmmr_u,216.71648165159837
10000,nmmr_u,220.13183772615776
10000,nmmr_u,106.93419862087606
10000,nmmr_u,88.05293496739493
10000,nmmr_u,45.597251228083294
10000,nmmr_u,157.36222755074147
10000,nmmr_u,209.54141160567616
10000,nmmr_u,158.32492449660853
10000,nmmr_u,129.45867874613205
10000,nmmr_u,208.00689498296651
10000,nmmr_u,67.64353480292019
10000,nmmr_u,244.40751293123785
10000,nmmr_u,78.7807357374916
10000,nmmr_u,117.01193109030146
10000,nmmr_u,294.61042337657784
10000,nmmr_u,122.14176931791908
10000,nmmr_u,208.33432343233162
10000,nmmr_u,196.8985085860132
