"ate","rmse_ate"
-2019.88606473046,3814.22606473046
-2448.94898092426,4243.28898092426
1022.01585310607,772.324146893933
-4310.01960549369,6104.35960549369
599.03820106519,1195.30179893481
-1133.63885394709,2927.97885394709
-893.306546316845,2687.64654631684
-158.525890451578,1952.86589045158
-2398.8494068712,4193.1894068712
-1906.15628633256,3700.49628633256
-657.486514503357,2451.82651450336
-1993.32976586659,3787.66976586659
-1349.67261293817,3144.01261293817
-308.754041145276,2103.09404114528
-680.724909369524,2475.06490936952
-5404.00332887325,7198.34332887325
-1029.59831671358,2823.93831671358
-1654.79847573828,3449.13847573828
-821.599549098259,2615.93954909826
-1483.52778874062,3277.86778874062
-3473.70934913952,5268.04934913952
-785.028212385107,2579.36821238511
-1387.00789269505,3181.34789269505
-2485.08882600403,4279.42882600403
-2438.3725270896,4232.7125270896
-2380.60169841126,4174.94169841126
322.326770460344,1472.01322953966
68.1447016282747,1726.19529837173
128.297984378271,1666.04201562173
-566.072912334888,2360.41291233489
-1363.25399678528,3157.59399678528
-1843.38126391518,3637.72126391518
-3045.61550818567,4839.95550818567
-1552.59425281218,3346.93425281218
-1534.15517695813,3328.49517695813
-2517.02991071308,4311.36991071308
1731.06231863245,63.2776813675466
-1011.78234095132,2806.12234095132
1377.55854117486,416.781458825145
-7951.4895929725,9745.8295929725
-1143.8496773464,2938.1896773464
-998.984329981807,2793.32432998181
1988.45641876273,194.116418762728
-5583.9673121572,7378.3073121572
-11.4402984642376,1805.78029846424
-2362.71144354902,4157.05144354902
148.720140323826,1645.61985967617
-2436.92371742698,4231.26371742698
-3540.58508867908,5334.92508867909
-143.775381882246,1938.11538188225
